,Year,Postcode,Offence Count
1070,2014,3520,11
1071,2014,3521,46
1072,2014,3522,51
1073,2014,3523,235
1074,2014,3525,38
1075,2014,3527,42
1076,2014,3530,2
1077,2014,3531,5
1078,2014,3533,25
1079,2014,3537,26
1080,2014,3540,38
1081,2014,3542,3
1082,2014,3544,13
1083,2014,3546,35
1084,2014,3549,304
1085,2014,3550,4853
1086,2014,3551,655
1087,2014,3555,1403
1088,2014,3556,1107
1089,2014,3557,55
1090,2014,3558,52
1091,2014,3559,25
1092,2014,3561,174
1093,2014,3562,15
1094,2014,3563,31
1095,2014,3564,1596
1096,2014,3565,5
1097,2014,3566,27
1098,2014,3567,14
1099,2014,3568,103
1100,2014,3570,34
1101,2014,3571,24
1102,2014,3572,8
1103,2014,3573,16
1104,2014,3575,72
1105,2014,3579,386
1106,2014,3580,26
1107,2014,3581,7
1108,2014,3583,3
1109,2014,3584,52
1110,2014,3585,1332
1111,2014,3586,22
1112,2014,3588,15
1113,2014,3589,14
1114,2014,3590,14
1115,2014,3591,5
1116,2014,3594,12
1117,2014,3595,41
1118,2014,3596,3
1119,2014,3597,15
1120,2014,3599,1
1121,2014,3607,7
1122,2014,3608,113
1123,2014,3610,124
1124,2014,3612,130
1125,2014,3614,34
1126,2014,3616,295
1127,2014,3617,8
1128,2014,3618,26
1129,2014,3620,497
1130,2014,3621,78
1131,2014,3622,25
1132,2014,3623,40
1133,2014,3624,23
1134,2014,3629,1099
1135,2014,3630,4569
1136,2014,3631,431
1137,2014,3633,21
1138,2014,3634,95
1139,2014,3635,19
1140,2014,3636,243
1141,2014,3637,18
1142,2014,3638,88
1143,2014,3639,50
1144,2014,3640,34
1145,2014,3641,48
1146,2014,3644,555
1147,2014,3646,39
1148,2014,3647,2
1149,2014,3649,15
1150,2014,3658,289
1151,2014,3659,55
1152,2014,3660,907
1153,2014,3662,93
1154,2014,3663,10
1155,2014,3664,84
1156,2014,3665,32
1157,2014,3666,217
1158,2014,3669,55
1159,2014,3670,23
1160,2014,3672,1054
1161,2014,3673,26
1162,2014,3675,95
1163,2014,3677,2182
1164,2014,3678,127
1165,2014,3682,76
1166,2014,3683,73
1167,2014,3685,97
1168,2014,3687,31
1169,2014,3688,62
1170,2014,3690,2844
1171,2014,3691,176
1172,2014,3695,4
1173,2014,3697,7
1174,2014,3698,5
1175,2014,3699,26
1176,2014,3700,80
1177,2014,3701,37
1178,2014,3705,1
1179,2014,3707,144
1180,2014,3709,15
1181,2014,3711,44
1182,2014,3712,18
1183,2014,3713,82
1184,2014,3714,184
1185,2014,3715,19
1186,2014,3717,180
1187,2014,3718,9
1188,2014,3719,19
1189,2014,3720,46
1190,2014,3722,283
1191,2014,3723,94
1192,2014,3725,9
1193,2014,3726,18
1194,2014,3727,14
1195,2014,3728,23
1196,2014,3730,333
1197,2014,3732,9
1198,2014,3733,6
1199,2014,3735,12
1200,2014,3737,242
1201,2014,3738,4
1202,2014,3739,7
1203,2014,3740,22
1204,2014,3741,130
1205,2014,3744,5
1206,2014,3746,1
1207,2014,3747,180
1208,2014,3749,48
1209,2014,3750,290
1210,2014,3751,14
1211,2014,3752,1206
1212,2014,3753,102
1213,2014,3754,1489
1214,2014,3755,8
1215,2014,3756,823
1216,2014,3757,414
1217,2014,3758,93
1218,2014,3759,56
1219,2014,3760,13
1220,2014,3761,28
1221,2014,3762,13
1222,2014,3763,55
1223,2014,3764,639
1224,2014,3765,202
1225,2014,3766,30
1226,2014,3767,37
1227,2014,3770,103
1228,2014,3775,123
1229,2014,3777,362
1230,2014,3778,11
1231,2014,3779,12
1232,2014,3781,261
1233,2014,3782,347
1234,2014,3783,107
1235,2014,3785,12
1236,2014,3786,40
1237,2014,3787,27
1238,2014,3788,86
1239,2014,3789,16
1240,2014,3791,50
1241,2014,3792,26
1242,2014,3793,193
1243,2014,3795,42
1244,2014,3796,284
1245,2014,3797,174
1246,2014,3799,223
1247,2014,3802,1455
1248,2014,3803,978
1249,2014,3804,276
1250,2014,3805,3499
1251,2014,3806,1812
1252,2014,3807,349
1253,2014,3808,58
1254,2014,3809,335
1255,2014,3810,3897
1256,2014,3812,108
1257,2014,3813,38
1258,2014,3814,263
1259,2014,3815,111
1260,2014,3816,188
1261,2014,3818,913
1262,2014,3820,1194
1263,2014,3821,59
1264,2014,3822,33
1265,2014,3823,93
1266,2014,3824,818
1267,2014,3825,2866
1268,2014,3831,70
1269,2014,3832,8
1270,2014,3833,58
1271,2014,3835,34
1272,2014,3840,3436
1273,2014,3842,547
1274,2014,3844,3674
1275,2014,3847,127
1276,2014,3850,2409
1277,2014,3851,293
1278,2014,3854,51
1279,2014,3856,18
1280,2014,3857,7
1281,2014,3858,528
1282,2014,3859,31
1283,2014,3860,392
1284,2014,3862,152
1285,2014,3864,12
1286,2014,3865,20
1287,2014,3869,83
1288,2014,3870,58
1289,2014,3871,105
1290,2014,3873,27
1291,2014,3874,31
1292,2014,3875,2037
1293,2014,3878,23
1294,2014,3880,106
1295,2014,3882,22
1296,2014,3885,61
1297,2014,3886,21
1298,2014,3887,46
1299,2014,3888,266
1300,2014,3889,10
1301,2014,3890,35
1302,2014,3891,3
1303,2014,3892,83
1304,2014,3893,1
1305,2014,3895,3
1306,2014,3896,15
1307,2014,3898,49
1308,2014,3900,9
1309,2014,3902,14
1310,2014,3903,17
1311,2014,3904,58
1312,2014,3909,1021
1313,2014,3910,1088
1314,2014,3911,235
1315,2014,3912,759
1316,2014,3913,176
1317,2014,3915,1262
1318,2014,3916,40
1319,2014,3918,133
1320,2014,3919,152
1321,2014,3920,18
1322,2014,3922,733
1323,2014,3923,18
1324,2014,3925,175
1325,2014,3926,78
1326,2014,3927,43
1327,2014,3928,20
