,year,month,address,latitude,longitude,postcode,sa2_2021,sa2_2016,residence_type,nbed,nbath,ncar,min_distance_to_cbd,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
14665,2020,6,"47 GORDON STREET, TULLAMARINE",-37.704068,144.876501,3043,210051250,210051250,House,3.0,1.0,4,16.733400000000003,0.7069099999999999,0.6932,,,,,,340.0
14666,2020,7,"47 GORDON STREET, TULLAMARINE",-37.704068,144.876501,3043,210051250,210051250,House,3.0,1.0,4,16.733400000000003,0.7069099999999999,0.6932,,,,,,340.0
14667,2020,8,"47 GORDON STREET, TULLAMARINE",-37.704068,144.876501,3043,210051250,210051250,House,3.0,1.0,4,16.733400000000003,0.7069099999999999,0.6932,,,,,,340.0
14668,2020,7,"47 GREAT ALPINE ROAD, EUROBIN",-36.6312646,146.8488258,3739,204031071,204031071,House,3.0,2.0,1,299.21209000000005,11.89113,15.27254,15.60204,1.65943,15.45192,14.39651,,320.0
14669,2020,6,"47 GREIG STREET, ALBERT PARK",-37.841859,144.949126,3206,206051128,206051128,House,3.0,2.0,1,5.63563,0.5420900000000001,0.68621,0.69247,2.4045,,3.87824,,1150.0
14670,2020,7,"47 GREIG STREET, ALBERT PARK",-37.841859,144.949126,3206,206051128,206051128,House,3.0,2.0,1,5.63563,0.5420900000000001,0.68621,0.69247,2.4045,,3.87824,,900.0
14671,2020,2,"47 GREY STREET, DARLEY",-37.658654,144.4351,3340,213041353,213041353,House,5.0,2.0,2,58.55457,4.05386,0.59797,1.84477,5.26714,3.72227,3.71146,,400.0
14672,2020,5,"47 GUTHRIE AVENUE, NORTH GEELONG",-38.128073,144.34964,3215,203021047,203021047,House,2.0,1.0,1,76.77627000000001,0.80533,1.63731,2.98362,1.05488,,,,340.0
14673,2020,2,"47 HARFIELD AVENUE, MICKLEHAM",-37.53943001,144.90634001,3064,210051445,210051445,House,4.0,2.0,2,42.313660000000006,,4.83389,,,,,,430.0
14674,2020,7,"47 HARFIELD AVENUE, MICKLEHAM",-37.53943001,144.90634001,3064,210051445,210051445,House,4.0,2.0,2,42.313660000000006,,4.83389,,,,,,430.0
14675,2020,8,"47 HARFIELD AVENUE, MICKLEHAM",-37.53943001,144.90634001,3064,210051445,210051445,House,4.0,2.0,2,42.313660000000006,,4.83389,,,,,,430.0
14676,2020,10,"47 HEATHMONT ROAD, RINGWOOD",-37.820572,145.239823,3134,211031266,211031266,House,5.0,2.0,2,28.98273,1.04558,1.07971,0.6193500000000001,1.4536300000000002,,1.904,1.5431700000000002,775.0
14677,2020,2,"47 HOURIGAN ROAD, MORWELL",-38.227988,146.420183,3840,205041096,205041096,House,2.0,1.0,2,154.18714000000003,0.85417,0.5636,1.07669,3.39824,3.95533,3.85804,,200.0
14678,2020,12,"47 HUXLEY AVENUE, MULGRAVE",-37.933142,145.178624,3170,212051325,212051325,House,3.0,1.0,2,29.20876,6.42462,0.73554,1.11392,,,,,500.0
14679,2020,3,"47 JADE CRESCENT, WYNDHAM VALE",-37.890044,144.61581,3024,213051590,213051369,House,3.0,2.0,1,39.58325,1.94912,1.00092,,,,,,350.0
14680,2020,9,"47 JARMA ROAD, HEATHMONT",-37.831882,145.231599,3135,211031267,211031267,House,2.0,1.0,1,29.33739,0.47407,0.93977,1.01577,1.5278,5.14041,,,395.0
14681,2020,12,"47 JEWEL AVENUE, INVERGORDON",-36.102425,145.5136433,3636,216021413,216021413,House,3.0,1.0,3,222.79659,8.89836,7.697970000000001,13.538,8.08065,6.32383,7.86118,,250.0
14682,2020,4,"47 KELWAY CRESCENT, ELTHAM NORTH",-37.70376,145.134725,3095,209031209,209031209,House,4.0,2.0,2,25.58386,2.12494,3.88362,3.01478,3.77327,,3.99515,,680.0
14683,2020,2,"47 KYABRAM STREET, COOLAROO",-37.661438,144.936721,3048,210051243,210051243,House,3.0,1.0,1,19.22868,1.56398,0.56314,1.0258900000000002,1.37211,,,1.95173,370.0
14684,2020,8,"47 LAURINA CRESCENT, FRANKSTON NORTH",-38.115142,145.155339,3200,214011372,214011372,House,3.0,1.0,2,50.153,0.50959,0.7427699999999999,1.11596,,,,7.54668,310.0
14685,2020,4,"47 MAIN STREET, WINCHELSEA",-38.24420479,143.98780494,3241,203011036,203011036,House,3.0,1.0,2,115.009,0.8909900000000001,0.8813500000000001,,1.3979,0.97059,1.60552,,400.0
14686,2020,2,"47 MAUD STREET, BALWYN NORTH",-37.794878,145.070178,3104,207011148,207011148,House,3.0,2.0,2,12.34077,0.8001,0.25067,0.98657,,,,,800.0
14687,2020,11,"47 MOUBRAY STREET, ALBERT PARK",-37.843534,144.952871,3206,206051128,206051128,Apartment,2.0,1.0,1,5.42263,0.0985699999999999,0.23547,0.72535,1.68779,,3.4275,,715.0
