NOOROONGONG PRIMARY SCHOOL,2700515.49656756,2572591.5103829615
ST ANDREWS PRIMARY SCHOOL,2523824.9014699315,2433127.698875943
LYNDALE PRIMARY SCHOOL,2517983.2349586254,2392884.1616394287
ST MARGARETS SCHOOL,2530423.994375137,2385047.28228354
GISBORNE MONTESSORI SCHOOL,2464575.9215222425,2449622.3044247627
ANGLESEA PRIMARY SCHOOL,2429392.066703217,2344678.775234908
FITZROY PRIMARY SCHOOL,2498371.6559253805,2411266.719039222
JELLS PARK PRIMARY SCHOOL,2516960.3232368026,2399791.1918625804
ANDERSONS CREEK PRIMARY SCHOOL,2518301.9922906714,2416949.3452704083
KNOWSLEY PRIMARY SCHOOL,2463116.4279223583,2519631.8299738225
KONGWAK PRIMARY SCHOOL,2562184.3484529527,2331608.196146746
KOO-WEE-RUP PRIMARY SCHOOL,2543181.717091659,2367191.5609222315
GLEN ALVIE PRIMARY SCHOOL,2556143.7768237544,2333468.796636789
KOONDROOK PRIMARY SCHOOL,2421176.6530982903,2651112.617574118
CLARINDA PRIMARY SCHOOL,2509048.4744340014,2397121.9103909675
CLAYTON PRIMARY SCHOOL,2511198.4151001736,2397389.021413007
CLAYTON WEST PRIMARY SCHOOL,2509391.1567099146,2397730.882303835
FERNTREE GULLY NORTH PRIMARY SCHOOL,2526342.4593962682,2402880.237083437
MELTON WEST PRIMARY SCHOOL,2461849.0829622815,2424733.565220725
MENTONE PRIMARY SCHOOL,2505971.3217209936,2390914.546985019
PAYNESVILLE PRIMARY SCHOOL,2738687.236104737,2395468.1977440948
PEARCEDALE PRIMARY SCHOOL,2520319.5648116064,2366464.9106126307
PEARSONDALE PRIMARY SCHOOL,2675553.1073926953,2372580.2839626614
TRAFALGAR EAST PRIMARY SCHOOL,2604475.6277958844,2368375.2297319937
PEMBROKE PRIMARY SCHOOL,2528819.7606767514,2411528.1063345075
PENDERS GROVE PRIMARY SCHOOL,2501257.4541375544,2416270.011876527
PENTLAND PRIMARY SCHOOL,2449105.360926006,2427065.4466051403
PERANBIN PRIMARY SCHOOL BADDAGINNIE CAMPUS,2577232.289166895,2544881.862329159
TEESDALE PRIMARY SCHOOL,2416995.897899732,2385367.595480021
BAYLES PRIMARY SCHOOL,2549599.332154082,2369336.0759821627
CAULFIELD SOUTH PRIMARY SCHOOL,2502708.9995391704,2400650.35650572
ELTHAM NORTH PRIMARY SCHOOL,2513303.1429700307,2422298.1710179485
ST MARYS SCHOOL,2501002.1588678816,2545736.796594547
BAIRNSDALE CHRISTIAN COMMUNITY SCHOOL,2726912.3868960296,2403574.597746473
BRANXHOLME-WALLACEDALE COMMUNITY SCHOOL,2218340.639060945,2400232.2035678504
CRAIGIEBURN SOUTH PRIMARY SCHOOL,2494336.2857212406,2432445.964208612
GALILEE REGIONAL CATHOLIC PRIMARY SCHOOL,2496022.216962747,2407208.2320642835
MYOLA EAST PRIMARY SCHOOL,2459201.3060295475,2540449.6754715405
RIVER GUM PRIMARY SCHOOL,2522870.67857962,2385146.844141407
TIMBARRA PRIMARY SCHOOL,2528283.5955234794,2387112.7117041955
RAWSON PRIMARY SCHOOL,2622937.230601494,2392658.3867064416
AIRLY PRIMARY SCHOOL,2685590.420146621,2384109.874752175
ALBANVALE PRIMARY SCHOOL,2480119.44852451,2417411.887430176
MOE (ALBERT STREET) PRIMARY SCHOOL,2610790.154819164,2368895.4541872935
ALEXANDRA PRIMARY SCHOOL,2563179.6644213423,2478395.7287056018
ALTONA NORTH PRIMARY SCHOOL,2486723.5663723894,2407107.6479605753
ANAKIE PRIMARY SCHOOL,2434499.3009034395,2398461.0658853576
DRUMMOND PRIMARY SCHOOL,2440571.753043291,2473636.877051953
FAIRFIELD PRIMARY SCHOOL,2501797.061330567,2413665.0936785107
HUNTINGDALE PRIMARY SCHOOL,2509000.9012746518,2398666.9762603063
BENDOC PRIMARY SCHOOL,2844812.8215782614,2476678.937830683
Munro Primary School,2692552.2200852693,2397771.5199703705
BROOKLYN PRIMARY SCHOOL,2486830.6061540917,2409009.0425943583
DEBNEY MEADOWS PRIMARY SCHOOL,2494287.8799305973,2412775.454869372
LALOR PRIMARY SCHOOL,2502239.8332361095,2425641.189175844
NEW GISBORNE PRIMARY SCHOOL,2464314.13071761,2448559.1788893957
LANG VIEW PRIMARY SCHOOL,2563173.463973244,2362438.220305345
BUCHAN SOUTH PRIMARY SCHOOL,2775819.9641667977,2434769.781311827
BRUNSWICK SOUTH PRIMARY SCHOOL,2497581.0344415745,2413586.137474561
DEVON MEADOWS PRIMARY SCHOOL,2526413.963123747,2370996.910399435
