,Unnamed: 0,bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price,distance_to_city,weekly_rent
1073,1073,4.0,2.0,2.0,,22 Palmer Avenue Point Cook VIC 3030,-37.8942782,144.7384146,$450.00 per week,21.7924,450.0
1074,1074,4.0,2.0,3.0,,5 Goegan Street Werribee VIC 3030,-37.90271449999999,144.66970680000003,$430 per week,27.7589,430.0
1075,1075,4.0,2.0,2.0,,8 Brooklyn Street Point Cook VIC 3030,-37.8932974,144.7128058,$450 per week,23.8434,450.0
1076,1076,4.0,2.0,2.0,,14 Hamlet Street Werribee VIC 3030,-37.918309,144.6384668,$380 per week,30.9357,380.0
1077,1077,3.0,2.0,2.0,,56 Prudence Parade Point Cook VIC 3030,-37.9066113,144.7367627,$450 per week,22.4915,450.0
1078,1078,4.0,2.0,2.0,,6 Grenache Street Point Cook VIC 3030,-37.8881869,144.72149030000003,$410.00 per week,22.9311,410.0
1079,1079,4.0,2.0,2.0,,50 Atlantis Drive Point Cook VIC 3030,-37.9104736,144.7471386,$490 per week,21.8739,490.0
1080,1080,4.0,2.0,2.0,,8 Radisson Crescent Werribee VIC 3030,-37.8997995,144.6641401,$430 per week,28.1134,430.0
1081,1081,4.0,2.0,2.0,,23 Casino Parade Point Cook VIC 3030,-37.9134648,144.77141840000004,$450 Weekly,20.1887,450.0
1082,1082,4.0,2.0,2.0,,7 Bamburgh Street Werribee VIC 3030,-37.9183045,144.63560969999997,$380.00 Per Week,31.1699,380.0
1083,1083,4.0,2.0,2.0,,66 Powlett Street Werribee VIC 3030,-37.9212961,144.6451241,$400 pw,30.5139,400.0
1084,1084,2.0,2.0,1.0,,2/8 Kite Court Werribee VIC 3030,-37.8878739,144.668485,$360 per week/$1564 per month,27.348000000000003,360.0
1085,1085,4.0,2.0,2.0,,27 Santander Crescent Point Cook VIC 3030,-37.8973319,144.73755649999995,$530 per week,21.9957,530.0
1086,1086,3.0,2.0,2.0,,2/13 Cootamundra Crt Werribee VIC 3030,-37.90809779999999,144.6880791,$395 per week,26.465999999999998,395.0
1087,1087,4.0,2.0,2.0,,1 Avon Court Werribee VIC 3030,-37.910701,144.67665219999995,$480.00,27.505,480.0
1089,1089,3.0,2.0,2.0,,23 Broadbeach Circuit Point Cook VIC 3030,-37.8945269,144.7602264,$380.00 per week,20.0522,380.0
1090,1090,4.0,2.0,5.0,,313 Heaths Road Werribee VIC 3030,-37.8766847,144.6721291,$360,26.7118,360.0
1091,1091,3.0,2.0,2.0,,16 Satellite Drive Werribee VIC 3030,-37.9003158,144.5947385,$350 pw,33.9575,350.0
1092,1092,3.0,2.0,1.0,,16/51c Orinoco Chase Werribee VIC 3030,-37.908139,144.6057639,$380,33.2758,380.0
1093,1093,3.0,2.0,2.0,,21 South Hampton Drive Point Cook VIC 3030,-37.8789539,144.7432417,$410.00 per week,20.7872,410.0
1094,1094,4.0,2.0,2.0,,103 Haze Drive Point Cook VIC 3030,-37.9089299,144.77263969999996,$430.00 per week,19.8359,430.0
1095,1095,3.0,2.0,2.0,,1 Condina Place Point Cook VIC 3030,-37.908135,144.74375659999995,$420 per week,22.0172,420.0
1096,1096,4.0,2.0,2.0,,8 Selleck Drive Point Cook VIC 3030,-37.908181,144.77196,$420 Per Week,19.8451,420.0
1097,1097,4.0,2.0,1.0,,43 Postema Drive Point Cook VIC 3030,-37.9150757,144.7652303,$400 pw,20.7458,400.0
